u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,junction,tunnel
360898749,2858132062,0,"[114327898, 32147307]",1,,,motorway_link,40,True,False,589.8630000000002,yes,"LINESTRING (-81.1200686 46.4275272, -81.1211037 46.4279277, -81.121479 46.4281153, -81.121698 46.4282461, -81.1218004 46.4283197, -81.1218764 46.4283971, -81.1219475 46.4285002, -81.1219895 46.4286003, -81.1219985 46.4287149, -81.1219833 46.4288169, -81.1219523 46.428918, -81.1218969 46.4289996, -81.1218359 46.4290722, -81.1217499 46.4291428, -81.121659 46.4292082, -81.1215415 46.4292647, -81.1214143 46.4293088, -81.1212769 46.4293393, -81.1211462 46.4293535, -81.121006 46.4293556, -81.1208566 46.4293434, -81.1207092 46.4293142, -81.120597 46.4292763, -81.1204717 46.4292173, -81.1203553 46.4291372, -81.120271 46.4290529, -81.1202065 46.4289536, -81.1201633 46.4288501, -81.1201495 46.4287529, -81.1201593 46.4286546, -81.1201912 46.4285541, -81.1202275 46.4284783, -81.1202806 46.4283969, -81.1203474 46.4283174, -81.1204779 46.4281983, -81.1205636 46.4281312, -81.1211987 46.4276786, -81.1212371 46.4275501)",,,
360914768,360923445,0,"[498513865, 32148483, 169265398, 169265399]",2,17,Highway 17,motorway,100,True,False,2967.5,yes,"LINESTRING (-81.1275966 46.4297102, -81.1280093 46.429786, -81.1284054 46.4298535, -81.1293677 46.4299458, -81.1298566 46.4299583, -81.1303518 46.4299539, -81.1308867 46.4299462, -81.1312772 46.4299375, -81.1316653 46.4299135, -81.1320886 46.4298758, -81.1325883 46.4298244, -81.1330545 46.4297595, -81.1334115 46.4297013, -81.1338041 46.4296414, -81.1341228 46.4295837, -81.1344465 46.4295186, -81.1346745 46.4294715, -81.135009 46.4293947, -81.135491 46.4292796, -81.1400105 46.428096, -81.1439684 46.4271273, -81.144375 46.427024, -81.146786 46.4263861, -81.14771 46.4261833, -81.1485346 46.4260207, -81.1493406 46.4258654, -81.1500699 46.42577, -81.150805 46.4256776, -81.1516352 46.4255966, -81.1528822 46.4254914, -81.1535825 46.4253955, -81.1540449 46.4253333, -81.1545803 46.4252477, -81.1549834 46.4251823, -81.1554238 46.4250852, -81.1570015 46.4246893, -81.1643915 46.4224413)",,,
360914786,360914768,0,"[32148419, 32148420, 32148421]",1,,,motorway_link,,True,False,591.3719999999998,yes,"LINESTRING (-81.1201224 46.4294657, -81.1211772 46.4294917, -81.1214342 46.4294992, -81.1216193 46.4294953, -81.1218098 46.429473, -81.1219802 46.4294495, -81.1221698 46.4294116, -81.1223768 46.4293705, -81.1226131 46.4293154, -81.1228078 46.4292659, -81.1230115 46.4292096, -81.1231448 46.4291764, -81.1232909 46.4291448, -81.1234871 46.429112, -81.1236212 46.4290785, -81.1237817 46.4290578, -81.1239158 46.4290504, -81.1240553 46.4290504, -81.1243162 46.4290625, -81.1245397 46.4290745, -81.1247192 46.4290897, -81.1249616 46.4291348, -81.1257699 46.4293299, -81.1263116 46.4294738, -81.127076 46.4296295, -81.1275966 46.4297102)",,,
360914789,360914786,0,483000671,1,,,motorway_link,,True,False,97.079,,"LINESTRING (-81.1189314 46.4292311, -81.1191065 46.4293169, -81.1192397 46.4293711, -81.1193889 46.4294051, -81.1195267 46.4294279, -81.1197544 46.4294453, -81.1201224 46.4294657)",,,
360914789,2858132062,0,"[483000673, 32143618]",2,55,Old Highway 17,primary,90,True,False,257.28999999999996,yes,"LINESTRING (-81.1189314 46.4292311, -81.1197453 46.4286089, -81.1203117 46.4281927, -81.1205651 46.4280109, -81.1212371 46.4275501)",,,
360914853,360856881,0,"[32148488, 32144542, 32148487]",1,,,motorway_link,,True,False,850.035,yes,"LINESTRING (-81.1292428 46.4295776, -81.1280413 46.4293938, -81.1277976 46.4293459, -81.1275019 46.4292748, -81.1272238 46.4291996, -81.1268588 46.4291073, -81.1266204 46.4290411, -81.1263119 46.4289377, -81.1260523 46.4288442, -81.1256532 46.4287024, -81.1251111 46.4284991, -81.1245777 46.4283094, -81.1244058 46.4282349, -81.1242392 46.4281557, -81.1241029 46.4280683, -81.1239893 46.4279791, -81.123872 46.4278746, -81.1237768 46.4277774, -81.1236934 46.4276661, -81.1236393 46.4275628, -81.1235933 46.4274504, -81.1235664 46.4273369, -81.1235438 46.4272203, -81.1235352 46.4270963, -81.1235449 46.4269717, -81.1235851 46.4268421, -81.1236211 46.4267262, -81.1236857 46.4265969, -81.123782 46.426463, -81.1238755 46.4263624, -81.1239979 46.4262568, -81.1241245 46.4261648, -81.1242684 46.4260727, -81.124417 46.4259868, -81.1252328 46.4255967, -81.1260455 46.4252001)",,,
360914853,360856780,0,"[32148485, 169265397, 32143541]",2,17,Highway 17,motorway,100,True,False,588.434,yes,"LINESTRING (-81.1292428 46.4295776, -81.1287419 46.4295551, -81.1283651 46.4295, -81.127944 46.429441, -81.1275401 46.4293687, -81.1272456 46.4293038, -81.1269527 46.4292285, -81.1266987 46.4291651, -81.1263822 46.4290888, -81.1261078 46.4290093, -81.1258374 46.4289351, -81.1254893 46.4288272, -81.1250049 46.4286787, -81.1220731 46.427768)",,,
360923445,360933095,0,498521945,2,17,Highway 17,motorway,100,False,False,973.546,,"LINESTRING (-81.1643915 46.4224413, -81.1719417 46.4201301, -81.1761356 46.4191262)",,,
360927400,360914853,0,"[32149543, 32149545, 498513866, 169265396, 169265397, 498521946]",2,17,Highway 17,motorway,100,True,False,3809.274,yes,"LINESTRING (-81.17611 46.41877, -81.176009 46.4187925, -81.1714506 46.4199431, -81.1641665 46.4221329, -81.1561314 46.4245252, -81.1554072 46.4247079, -81.1549949 46.4248025, -81.1542959 46.4249403, -81.1535463 46.4250544, -81.1529385 46.4251313, -81.150712 46.4253424, -81.1499438 46.4254371, -81.149122 46.4255558, -81.1483551 46.4257079, -81.1473324 46.4259185, -81.1462698 46.4261389, -81.1441575 46.4267148, -81.1437527 46.4268124, -81.1398401 46.4277756, -81.1353695 46.4289141, -81.134774 46.4290573, -81.1344218 46.4291468, -81.1340504 46.4292254, -81.1336368 46.4292982, -81.1333141 46.4293481, -81.1329413 46.4294136, -81.132588 46.4294678, -81.1322181 46.4295079, -81.1318941 46.4295397, -81.1316463 46.4295643, -81.131299 46.4295852, -81.1309905 46.4295975, -81.1306721 46.4295981, -81.1303339 46.4296007, -81.1298648 46.4295979, -81.1292428 46.4295776)",,,
360933095,360856567,0,32149541,2,17,Highway 17,motorway,100,True,False,53.567,,"LINESTRING (-81.1761356 46.4191262, -81.17681 46.419)",,,
